"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DHFL","EQ","30-Apr-2018","        634.50","        639.30","        658.65","        637.40","        641.00","        641.00","        646.28","   10900320","          7044662647.15","      96946","    1629764","         14.95"
"DHFL","EQ","02-May-2018","        641.00","        646.90","        680.55","        624.40","        647.00","        648.45","        651.50","   11956696","          7789824951.35","     114018","    1590150","         13.30"
"DHFL","EQ","03-May-2018","        648.45","        645.40","        653.00","        625.00","        631.15","        631.50","        636.31","    7000904","          4454728648.20","      65145","    1103347","         15.76"
"DHFL","EQ","04-May-2018","        631.50","        638.00","        639.00","        626.15","        626.70","        627.65","        632.14","    3949566","          2496688477.90","      35294","     542248","         13.73"
"DHFL","EQ","07-May-2018","        627.65","        631.80","        634.85","        621.65","        627.40","        627.50","        627.76","    2770835","          1739409279.75","      22883","     529580","         19.11"
"DHFL","EQ","08-May-2018","        627.50","        633.55","        634.00","        621.10","        623.40","        622.95","        626.92","    3123695","          1958318781.30","      29068","    1197934","         38.35"
"DHFL","EQ","09-May-2018","        622.95","        623.10","        631.80","        621.00","        626.80","        625.15","        626.20","    2376471","          1488148882.10","      22256","     887150","         37.33"
"DHFL","EQ","10-May-2018","        625.15","        627.80","        634.95","        620.35","        621.65","        623.85","        626.69","    4069389","          2550245685.40","      26376","     658833","         16.19"
"DHFL","EQ","11-May-2018","        623.85","        625.55","        634.00","        625.00","        625.20","        625.60","        626.20","    2613025","          1636285802.05","      14917","    1026791","         39.30"
"DHFL","EQ","14-May-2018","        625.60","        627.40","        631.00","        625.00","        625.20","        625.20","        626.05","    2334780","          1461691594.50","      13627","     695469","         29.79"
"DHFL","EQ","15-May-2018","        625.20","        624.95","        632.70","        621.00","        621.95","        621.60","        626.16","    3835595","          2401709677.10","      31061","    1223911","         31.91"
"DHFL","EQ","16-May-2018","        621.60","        620.00","        623.80","        615.00","        615.45","        615.75","        617.56","    4265980","          2634482183.55","      20202","    1091990","         25.60"
"DHFL","EQ","17-May-2018","        615.75","        615.00","        623.00","        614.00","        621.30","        617.50","        618.34","    3695266","          2284925549.45","      19636","    1147386","         31.05"
"DHFL","EQ","18-May-2018","        617.50","        624.90","        629.00","        611.00","        613.70","        614.00","        616.58","    3586816","          2211551203.55","      17471","    1218673","         33.98"
"DHFL","EQ","21-May-2018","        614.00","        619.80","        626.40","        592.10","        614.00","        614.60","        612.83","    6661955","          4082652089.60","      30654","    1115617","         16.75"
"DHFL","EQ","22-May-2018","        614.60","        618.00","        620.40","        600.65","        608.00","        607.65","        611.65","    4866508","          2976602019.35","      22487","    1073246","         22.05"
"DHFL","EQ","23-May-2018","        607.65","        605.85","        608.45","        600.00","        600.90","        601.15","        602.77","    4118609","          2482569570.85","      19951","    1279432","         31.06"
"DHFL","EQ","24-May-2018","        601.15","        606.25","        608.50","        600.00","        600.50","        601.00","        601.38","    2921608","          1756994903.20","      12825","    1239587","         42.43"
"DHFL","EQ","25-May-2018","        601.00","        601.95","        623.70","        601.05","        617.85","        615.05","        610.91","    6039843","          3689800863.25","      27823","    1150923","         19.06"
"DHFL","EQ","28-May-2018","        615.05","        618.30","        639.35","        618.30","        628.60","        630.00","        631.64","    3421727","          2161285718.30","      32303","     710736","         20.77"
"DHFL","EQ","29-May-2018","        630.00","        627.80","        633.50","        620.00","        621.80","        624.30","        625.53","    1994161","          1247404257.30","      24855","     601096","         30.14"
"DHFL","EQ","30-May-2018","        624.30","        613.70","        631.50","        611.45","        625.00","        623.55","        625.41","    2880407","          1801436091.90","      31492","     612432","         21.26"
"DHFL","EQ","31-May-2018","        623.55","        628.80","        641.95","        610.00","        610.20","        613.15","        625.04","    9113410","          5696249039.55","      67662","    2503848","         27.47"
"DHFL","EQ","01-Jun-2018","        613.15","        613.00","        623.10","        606.25","        608.90","        609.90","        614.31","    5268183","          3236277205.60","      32893","    1086367","         20.62"
"DHFL","EQ","04-Jun-2018","        609.90","        614.70","        616.35","        597.90","        600.50","        601.60","        606.32","    4346387","          2635321882.20","      34715","    1186953","         27.31"
"DHFL","EQ","05-Jun-2018","        601.60","        600.00","        612.80","        581.15","        603.00","        604.40","        598.24","    9074085","          5428510134.05","      72740","    3274331","         36.08"
"DHFL","EQ","06-Jun-2018","        604.40","        601.00","        612.50","        600.00","        605.00","        604.85","        605.25","    4099152","          2481002647.75","      43374","     918325","         22.40"
"DHFL","EQ","07-Jun-2018","        604.85","        609.50","        622.50","        605.00","        617.00","        616.85","        612.68","    5309151","          3252825743.10","      44242","    1335617","         25.16"
"DHFL","EQ","08-Jun-2018","        616.85","        616.20","        627.95","        612.25","        620.50","        623.20","        619.26","    3558918","          2203881475.95","      45993","    1078930","         30.32"
"DHFL","EQ","11-Jun-2018","        623.20","        622.00","        628.00","        615.05","        615.60","        619.30","        623.57","    3063942","          1910572136.95","      32386","    1194395","         38.98"
"DHFL","EQ","12-Jun-2018","        619.30","        619.00","        627.00","        616.15","        621.00","        621.75","        622.75","    3073588","          1914091471.45","      30622","     738553","         24.03"
"DHFL","EQ","13-Jun-2018","        621.75","        624.00","        646.00","        622.00","        629.00","        629.40","        631.56","    7874764","          4973406776.75","      68640","    1479786","         18.79"
"DHFL","EQ","14-Jun-2018","        629.40","        624.00","        640.00","        622.00","        626.00","        625.55","        629.42","    3916121","          2464897764.95","      39683","     864683","         22.08"
"DHFL","EQ","15-Jun-2018","        625.55","        627.80","        634.00","        613.15","        624.75","        625.55","        626.11","    6039136","          3781133875.90","      36342","    1390401","         23.02"
"DHFL","EQ","18-Jun-2018","        625.55","        625.00","        632.00","        618.00","        621.00","        621.50","        623.24","    2199744","          1370977468.65","      18017","     514631","         23.40"
"DHFL","EQ","19-Jun-2018","        621.50","        618.00","        621.50","        612.00","        612.90","        613.95","        614.91","    2862223","          1760001030.00","      23231","    1060887","         37.07"
"DHFL","EQ","20-Jun-2018","        613.95","        615.50","        634.70","        613.00","        629.50","        628.85","        623.72","    5285342","          3296561688.55","      42913","     554641","         10.49"
"DHFL","EQ","21-Jun-2018","        628.85","        634.70","        642.40","        624.45","        631.70","        632.15","        633.21","    6295511","          3986380018.90","      57851","    1390693","         22.09"
"DHFL","EQ","22-Jun-2018","        632.15","        634.95","        642.00","        622.30","        639.90","        637.75","        632.11","    4875780","          3082016145.90","      45615","     908385","         18.63"
"DHFL","EQ","25-Jun-2018","        637.75","        640.80","        649.60","        630.00","        632.60","        634.80","        639.46","    3116495","          1992867979.65","      30363","     846428","         27.16"
"DHFL","EQ","26-Jun-2018","        634.80","        633.95","        647.60","        631.25","        644.90","        643.65","        639.87","    3472784","          2222130578.75","      31084","    1052652","         30.31"
"DHFL","EQ","27-Jun-2018","        643.65","        645.50","        649.00","        635.00","        640.00","        643.10","        643.37","    7341748","          4723486542.55","      49153","    1819570","         24.78"
"DHFL","EQ","28-Jun-2018","        643.10","        640.00","        654.00","        633.00","        635.00","        636.05","        641.59","   13795070","          8850731296.15","      79092","    3366473","         24.40"
