STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
8200.00,150,2.25,2.55,75,-4.55,2.25,46.06,8885,572,2201
8250.00,750,3.3,4,75,-68.1,3.25,-,42,25,25
8300.00,1125,3.45,4.4,600,-5.9,4.05,44.21,11228,1244,2991
8350.00,150,4.15,5.9,1200,-8.5,4.15,42.61,446,171,175
8400.00,75,6.55,6.9,7350,-7.25,6.9,42.33,18973,1167,2827
8450.00,525,8.7,9.45,1200,-7.75,8.6,41.6,994,58,157
8500.00,75,10.6,11,525,-9.6,10.7,40.97,51355,3051,12462
8550.00,1200,11.2,13.8,75,-11.25,12.45,40.22,1773,155,238
8600.00,225,16.3,17,1275,-12.6,16.4,39.87,34970,2773,4925
8650.00,300,19.4,20,75,-14.45,20,39.38,3601,329,388
8700.00,375,24.4,25,750,-15.8,24.95,39.04,44791,844,4737
8750.00,75,29.2,31.25,300,-17,30.95,38.72,6326,481,596
8800.00,3375,36.5,37.45,675,-20.55,36.5,38.29,104215,3204,10410
8850.00,225,42.85,45,450,-20.9,45,38.1,12782,348,510
8900.00,150,52.5,53,825,-25.2,52.55,37.86,102222,-1021,7988
8950.00,75,62.45,64,225,-28,63.5,37.57,12831,570,830
9000.00,75,75.4,76,675,-31.8,75.4,37.41,207412,3608,15884
9050.00,150,88,89.5,75,-34.85,88.1,37.11,16295,366,617
9100.00,225,106.1,108.35,75,-27.65,114,36.93,136259,3610,6733
9150.00,75,123.1,126,75,-38.7,124,36.89,15117,414,717
9200.00,150,145.15,147,450,-39.25,145.15,36.86,177070,-356,9141
9250.00,75,167.05,168.8,75,-39.75,169.1,36.73,21403,719,938
9300.00,450,193,195.45,150,-42.1,195,36.86,179444,3000,7050
9350.00,75,221.6,226.35,150,-23,242.65,37.04,17436,539,568
9400.00,225,254,256.25,150,-43.15,255.5,36.94,51993,991,2147
9450.00,75,281.65,291.85,75,-38.55,284.2,36.58,850,73,76
9500.00,225,325.2,328.45,75,-40.45,330.4,37.39,20023,3091,5016
9550.00,75,359.25,382.8,75,-55,360,32.71,96,18,22
9600.00,75,400.7,412.45,1200,-37.65,404,37.25,2804,80,278
9650.00,150,432.35,458.45,225,-79.05,424.2,-,1,1,1
9700.00,75,490,500.25,1050,-33.3,496.15,33.45,631,63,321
